QueryLength,UrlLength,NumNumericChars,HostnameLength,NumDots,NumDashInHostname,NumDash,NumAmpersand,SubdomainLevel,RandomString,NumQueryComponents,NumPercent,PathLevel,IpAddress,NumUnderscore,Label
0,30,0,14,3,0,0,0,4,0,0,0,3,0,0,0
39,96,15,10,2,0,4,0,3,1,1,0,5,0,0,0
0,36,0,21,2,0,0,0,3,0,0,0,2,0,0,0
35,79,7,28,3,1,6,0,4,0,0,0,2,0,0,0
0,35,0,10,1,1,1,0,2,0,0,0,4,0,0,0
0,57,0,14,2,2,2,0,3,0,0,0,4,0,0,0
0,87,6,13,1,8,8,0,2,0,0,0,4,0,0,0
0,31,0,11,1,0,0,0,2,0,0,0,2,0,1,0
0,94,4,14,2,0,0,0,3,0,0,0,5,0,7,0
0,28,0,12,1,0,0,0,2,0,0,0,3,0,1,0
0,42,8,14,4,0,0,0,5,0,0,0,5,0,0,0
0,38,0,27,5,1,1,0,6,0,0,0,2,0,0,0
49,68,6,12,4,0,0,0,3,0,1,0,2,0,1,0
0,47,0,15,2,0,0,0,3,0,0,0,6,0,0,0
0,45,8,15,2,1,1,0,3,0,0,0,6,0,0,0
0,81,8,21,2,7,7,0,3,0,0,0,5,0,0,0
0,25,0,24,1,0,0,0,2,0,0,0,2,0,0,0
0,56,1,18,4,0,0,0,5,0,0,0,5,0,2,0
0,41,0,18,3,0,0,0,4,0,0,0,2,0,0,0
0,19,0,6,1,0,0,0,2,0,0,0,2,0,0,0
0,75,0,30,2,0,0,0,3,0,0,0,2,0,0,0
0,108,3,20,2,6,6,0,3,0,0,0,7,0,0,0
0,36,6,20,2,0,0,0,3,0,0,0,4,0,0,0
8,37,5,14,3,0,0,0,4,0,1,0,3,0,0,0
0,70,0,23,1,0,0,0,2,0,0,0,6,0,1,0
0,30,5,10,1,0,0,0,2,0,0,0,5,0,1,0
0,52,7,8,2,3,3,0,3,0,0,0,2,0,2,0
0,107,8,17,1,7,7,0,2,0,0,0,7,0,0,0
0,52,0,12,1,4,4,0,2,0,0,0,3,0,0,0
5,62,2,19,2,0,0,0,3,0,1,0,3,0,4,0
0,30,0,18,2,0,0,0,3,0,0,0,2,0,0,0
43,64,3,10,2,0,0,3,3,0,4,0,2,0,1,0
25,61,16,20,3,0,0,0,4,0,1,0,3,0,0,0
0,67,0,17,1,0,0,0,2,0,0,0,3,0,9,0
0,48,1,11,2,0,0,0,3,0,0,0,3,0,4,0
0,24,5,12,1,0,0,0,2,0,0,0,3,0,0,0
0,56,0,18,2,0,0,0,3,0,0,0,5,0,0,0
0,34,0,16,2,0,0,0,3,0,0,0,2,0,0,0
0,58,0,21,1,0,0,0,2,0,0,0,2,0,0,0
23,50,1,25,2,0,0,0,3,0,1,0,2,0,0,0
0,78,8,16,1,11,11,0,2,0,0,0,2,0,0,0
13,32,7,11,2,0,0,1,3,0,2,0,2,0,0,0
0,36,0,15,1,0,0,0,2,0,0,0,2,0,3,0
0,26,0,12,1,0,0,0,2,0,0,0,2,0,1,0
0,34,0,15,2,0,0,0,3,0,0,0,3,0,0,0
0,77,4,11,1,12,12,0,2,0,0,0,3,0,0,0
0,28,0,15,1,0,0,0,2,0,0,0,2,0,0,0
0,87,6,34,3,4,4,0,4,0,0,0,4,0,0,0
0,25,9,11,2,0,0,0,3,0,0,0,3,0,0,0
0,45,0,27,3,0,0,0,4,0,0,0,2,0,0,0
0,29,0,10,1,1,1,0,2,0,0,0,2,0,0,0
0,61,0,16,2,0,0,0,3,0,0,0,3,0,5,0
0,43,2,17,2,1,1,0,3,0,0,0,4,0,0,0
0,54,16,21,2,1,1,0,3,0,0,0,6,0,0,0
0,38,0,15,1,1,1,0,2,0,0,0,3,0,0,0
7,36,2,18,2,1,1,1,3,0,2,0,2,0,0,0
0,117,5,27,2,8,8,0,3,0,0,0,6,0,1,0
0,30,0,20,4,1,1,0,5,0,0,0,3,0,0,0
57,79,0,8,2,0,0,0,3,0,1,0,3,0,1,0
0,33,0,15,2,0,0,0,3,0,0,0,2,0,0,0
148,179,11,17,3,0,0,6,3,0,6,8,2,0,1,0
0,18,0,17,1,0,0,0,2,0,0,0,2,0,0,0
7,40,5,17,2,0,0,0,3,0,1,0,2,0,0,0
0,56,0,14,4,0,0,0,5,0,0,0,5,0,0,0
0,40,6,14,1,0,0,0,2,0,0,0,4,0,1,0
0,20,0,19,1,0,0,0,2,0,0,0,2,0,0,0
0,36,7,14,1,1,1,0,2,0,0,0,3,0,0,0
0,16,0,12,2,0,0,0,3,0,0,0,3,0,0,0
0,39,7,12,1,1,1,0,2,0,0,0,6,0,0,0
0,38,0,11,1,2,2,0,2,0,0,0,3,0,0,0
0,32,0,12,3,0,0,0,4,0,0,0,3,0,0,0
0,17,0,16,1,0,0,0,2,0,0,0,2,0,0,0
0,25,0,24,2,0,0,0,3,0,0,0,2,0,0,0
