PathLength,UrlLength,HostnameLength,NumNumericChars,PathLevel,NumDots,SubdomainLevel,NumUnderscore,NumDashInHostname,RandomString,Label
16,30,14,0,3,3,4,0,0,0,0
46,96,10,15,5,2,3,0,0,1,0
15,36,21,0,2,2,3,0,0,0,0
15,79,28,7,2,3,4,0,1,0,0
25,35,10,0,4,1,2,0,1,0,0
43,57,14,0,4,2,3,0,2,0,0
74,87,13,6,4,1,2,0,8,0,0
20,31,11,0,2,1,2,1,0,0,0
80,94,14,4,5,2,3,7,0,0,0
16,28,12,0,3,1,2,1,0,0,0
28,42,14,8,5,4,5,0,0,0,0
11,38,27,0,2,5,6,0,1,0,0
6,68,12,6,2,4,3,1,0,0,0
32,47,15,0,6,2,3,0,0,0,0
30,45,15,8,6,2,3,0,1,0,0
60,81,21,8,5,2,3,0,7,0,0
1,25,24,0,2,1,2,0,0,0,0
38,56,18,1,5,4,5,2,0,0,0
23,41,18,0,2,3,4,0,0,0,0
13,19,6,0,2,1,2,0,0,0,0
45,75,30,0,2,2,3,0,0,0,0
88,108,20,3,7,2,3,0,6,0,0
16,36,20,6,4,2,3,0,0,0,0
14,37,14,5,3,3,4,0,0,0,0
47,70,23,0,6,1,2,1,0,0,0
20,30,10,5,5,1,2,1,0,0,0
44,52,8,7,2,2,3,2,3,0,0
90,107,17,8,7,1,2,0,7,0,0
40,52,12,0,3,1,2,0,4,0,0
37,62,19,2,3,2,3,4,0,0,0
12,30,18,0,2,2,3,0,0,0,0
10,64,10,3,2,2,3,1,0,0,0
15,61,20,16,3,3,4,0,0,0,0
50,67,17,0,3,1,2,9,0,0,0
37,48,11,1,3,2,3,4,0,0,0
12,24,12,5,3,1,2,0,0,0,0
38,56,18,0,5,2,3,0,0,0,0
18,34,16,0,2,2,3,0,0,0,0
37,58,21,0,2,1,2,0,0,0,0
1,50,25,1,2,2,3,0,0,0,0
62,78,16,8,2,1,2,0,11,0,0
7,32,11,7,2,2,3,0,0,0,0
21,36,15,0,2,1,2,3,0,0,0
14,26,12,0,2,1,2,1,0,0,0
19,34,15,0,3,2,3,0,0,0,0
66,77,11,4,3,1,2,0,12,0,0
13,28,15,0,2,1,2,0,0,0,0
53,87,34,6,4,3,4,0,4,0,0
