NumDots,NumNumericChars,SubdomainLevel,RandomString,UrlLength,QueryLength,PathLevel,NumDashInHostname,HostnameLength,NumDash,NumQueryComponents,HttpsInHostname,IpAddress,NumUnderscore,Label
3,0,4,0,30,0,3,0,14,0,0,0,0,0,0
2,15,3,1,96,39,5,0,10,4,1,0,0,0,0
2,0,3,0,36,0,2,0,21,0,0,0,0,0,0
3,7,4,0,79,35,2,1,28,6,0,0,0,0,0
1,0,2,0,35,0,4,1,10,1,0,0,0,0,0
2,0,3,0,57,0,4,2,14,2,0,0,0,0,0
1,6,2,0,87,0,4,8,13,8,0,0,0,0,0
1,0,2,0,31,0,2,0,11,0,0,0,0,1,0
2,4,3,0,94,0,5,0,14,0,0,0,0,7,0
1,0,2,0,28,0,3,0,12,0,0,0,0,1,0
4,8,5,0,42,0,5,0,14,0,0,0,0,0,0
5,0,6,0,38,0,2,1,27,1,0,0,0,0,0
4,6,3,0,68,49,2,0,12,0,1,0,0,1,0
2,0,3,0,47,0,6,0,15,0,0,0,0,0,0
2,8,3,0,45,0,6,1,15,1,0,0,0,0,0
2,8,3,0,81,0,5,7,21,7,0,0,0,0,0
1,0,2,0,25,0,2,0,24,0,0,0,0,0,0
4,1,5,0,56,0,5,0,18,0,0,0,0,2,0
3,0,4,0,41,0,2,0,18,0,0,0,0,0,0
1,0,2,0,19,0,2,0,6,0,0,0,0,0,0
2,0,3,0,75,0,2,0,30,0,0,0,0,0,0
2,3,3,0,108,0,7,6,20,6,0,0,0,0,0
2,6,3,0,36,0,4,0,20,0,0,0,0,0,0
3,5,4,0,37,8,3,0,14,0,1,0,0,0,0
1,0,2,0,70,0,6,0,23,0,0,0,0,1,0
1,5,2,0,30,0,5,0,10,0,0,0,0,1,0
2,7,3,0,52,0,2,3,8,3,0,0,0,2,0
1,8,2,0,107,0,7,7,17,7,0,0,0,0,0
1,0,2,0,52,0,3,4,12,4,0,0,0,0,0
2,2,3,0,62,5,3,0,19,0,1,0,0,4,0
2,0,3,0,30,0,2,0,18,0,0,0,0,0,0
2,3,3,0,64,43,2,0,10,0,4,0,0,1,0
3,16,4,0,61,25,3,0,20,0,1,0,0,0,0
1,0,2,0,67,0,3,0,17,0,0,0,0,9,0
2,1,3,0,48,0,3,0,11,0,0,0,0,4,0
1,5,2,0,24,0,3,0,12,0,0,0,0,0,0
2,0,3,0,56,0,5,0,18,0,0,0,0,0,0
2,0,3,0,34,0,2,0,16,0,0,0,0,0,0
1,0,2,0,58,0,2,0,21,0,0,0,0,0,0
2,1,3,0,50,23,2,0,25,0,1,0,0,0,0
1,8,2,0,78,0,2,11,16,11,0,0,0,0,0
2,7,3,0,32,13,2,0,11,0,2,0,0,0,0
1,0,2,0,36,0,2,0,15,0,0,0,0,3,0
1,0,2,0,26,0,2,0,12,0,0,0,0,1,0
2,0,3,0,34,0,3,0,15,0,0,0,0,0,0
1,4,2,0,77,0,3,12,11,12,0,0,0,0,0
1,0,2,0,28,0,2,0,15,0,0,0,0,0,0
3,6,4,0,87,0,4,4,34,4,0,0,0,0,0
2,9,3,0,25,0,3,0,11,0,0,0,0,0,0
3,0,4,0,45,0,2,0,27,0,0,0,0,0,0
1,0,2,0,29,0,2,1,10,1,0,0,0,0,0
2,0,3,0,61,0,3,0,16,0,0,0,0,5,0
2,2,3,0,43,0,4,1,17,1,0,0,0,0,0
2,16,3,0,54,0,6,1,21,1,0,0,0,0,0
1,0,2,0,38,0,3,1,15,1,0,0,0,0,0
2,2,3,0,36,7,2,1,18,1,2,0,0,0,0
2,5,3,0,117,0,6,8,27,8,0,0,0,1,0
4,0,5,0,30,0,3,1,20,1,0,0,0,0,0
2,0,3,0,79,57,3,0,8,0,1,0,0,1,0
2,0,3,0,33,0,2,0,15,0,0,0,0,0,0
3,11,3,0,179,148,2,0,17,0,6,0,0,1,0
1,0,2,0,18,0,2,0,17,0,0,0,0,0,0
2,5,3,0,40,7,2,0,17,0,1,0,0,0,0
4,0,5,0,56,0,5,0,14,0,0,0,0,0,0
1,6,2,0,40,0,4,0,14,0,0,0,0,1,0
1,0,2,0,20,0,2,0,19,0,0,0,0,0,0
1,7,2,0,36,0,3,1,14,1,0,0,0,0,0
2,0,3,0,16,0,3,0,12,0,0,0,0,0,0
1,7,2,0,39,0,6,1,12,1,0,0,0,0,0
1,0,2,0,38,0,3,2,11,2,0,0,0,0,0
3,0,4,0,32,0,3,0,12,0,0,0,0,0,0
1,0,2,0,17,0,2,0,16,0,0,0,0,0,0
2,0,3,0,25,0,2,0,24,0,0,0,0,0,0
3,15,4,0,61,25,3,0,20,0,1,0,0,0,0
3,0,4,0,63,0,3,4,11,4,0,0,0,0,0
1,7,2,0,42,0,4,3,10,3,0,0,0,0,0
2,0,3,0,31,0,4,0,20,0,0,0,0,0,0
1,3,2,0,11,0,2,0,10,0,0,0,0,0,0
1,6,2,0,56,0,5,3,11,3,0,0,0,0,0
2,0,3,0,32,0,2,0,31,0,0,0,0,0,0
4,3,5,0,37,0,2,0,22,0,0,0,0,0,0
1,0,2,0,67,0,3,6,13,6,0,0,0,0,0
1,0,2,0,27,0,2,1,10,1,0,0,0,0,0
3,0,4,0,49,15,3,0,19,0,0,0,0,0,0
1,0,2,0,21,0,2,0,20,0,0,0,0,0,0
4,6,5,0,44,0,4,2,14,2,0,0,0,0,0
1,10,2,0,57,0,4,4,10,4,0,0,0,0,0
1,0,2,0,50,0,2,4,10,4,0,0,0,0,0
2,0,3,0,46,20,2,0,15,0,1,0,0,1,0
1,0,2,0,89,0,9,0,8,0,0,0,0,4,0
2,6,3,0,61,12,5,0,16,0,3,0,0,0,0
1,0,2,0,12,0,2,0,11,0,0,0,0,0,0
1,0,2,0,22,0,2,0,10,0,0,0,0,0,0
1,0,2,0,17,0,2,0,6,0,0,0,0,1,0
2,4,3,0,58,23,2,0,22,5,0,0,0,0,0
4,8,5,0,42,0,5,0,14,0,0,0,0,0,0
2,2,3,0,32,0,4,1,8,1,0,0,0,0,0
4,0,5,0,56,0,3,1,26,1,0,0,0,0,0
2,12,3,0,71,0,7,3,13,3,0,0,0,0,0
2,17,3,0,91,0,4,7,24,7,0,0,0,2,0
2,3,3,0,50,14,2,1,18,1,1,0,0,1,0
2,0,3,0,37,0,3,0,16,0,0,0,0,1,0
1,0,2,0,22,0,2,0,6,0,0,0,0,1,0
2,10,3,0,112,8,3,12,14,12,1,0,0,0,0
1,0,2,0,20,0,2,0,19,0,0,0,0,0,0
2,0,3,0,35,0,2,2,16,2,0,0,0,0,0
1,0,2,0,16,0,2,0,15,0,0,0,0,0,0
3,10,4,0,102,0,6,7,9,7,0,0,0,1,0
1,3,2,0,35,0,6,0,7,0,0,0,0,0,0
1,6,2,0,38,0,4,1,18,1,0,0,0,0,0
2,0,3,0,26,0,3,0,16,0,0,0,0,0,0
2,2,3,0,42,16,2,0,16,0,3,0,0,0,0
1,6,2,0,44,14,5,0,9,0,1,0,0,1,0
2,0,3,0,55,0,2,0,24,0,0,0,0,0,0
