NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,TinyURL,iFrame,Mouse_Over,Web_Forwards,Label
3,4,3,30,0,0,0,0,0,0,0,0,0,0,0,0,,0,14,16,0,0,0,1,1,1,0
2,3,5,96,4,0,0,0,0,0,1,0,0,15,0,1,,0,10,46,39,0,0,1,1,1,0
2,3,2,36,0,0,0,0,0,0,0,0,0,0,0,0,,0,21,15,0,0,0,1,1,1,0
3,4,2,79,6,1,0,0,0,0,0,0,0,7,0,0,,0,28,15,35,0,0,1,1,1,0
1,2,4,35,1,1,0,0,0,0,0,0,0,0,0,0,,0,10,25,0,0,0,1,1,1,0
2,3,4,57,2,2,0,0,0,0,0,0,0,0,0,0,,0,14,43,0,0,1,1,1,1,0
1,2,4,87,8,8,0,0,0,0,0,0,0,6,0,0,,0,13,74,0,0,0,1,1,1,0
1,2,2,31,0,0,0,0,1,0,0,0,0,0,0,0,,0,11,20,0,0,0,1,1,1,0
2,3,5,94,0,0,0,0,7,0,0,0,0,4,0,0,,0,14,80,0,0,0,1,1,1,0
1,2,3,28,0,0,0,0,1,0,0,0,0,0,0,0,,0,12,16,0,0,0,1,1,1,0
4,5,5,42,0,0,0,0,0,0,0,0,0,8,0,0,,0,14,28,0,0,0,1,1,1,0
5,6,2,38,1,1,0,0,0,0,0,0,0,0,0,0,,0,27,11,0,0,0,1,1,1,0
4,3,2,68,0,0,0,0,1,0,1,0,0,6,0,0,,0,12,6,49,0,0,1,1,1,0
2,3,6,47,0,0,0,0,0,0,0,0,0,0,0,0,,0,15,32,0,0,0,1,1,1,0
2,3,6,45,1,1,0,0,0,0,0,0,0,8,0,0,,0,15,30,0,0,0,1,1,1,0
2,3,5,81,7,7,0,0,0,0,0,0,0,8,0,0,,0,21,60,0,0,0,1,1,1,0
1,2,2,25,0,0,0,0,0,0,0,0,0,0,0,0,,0,24,1,0,0,0,1,1,1,0
4,5,5,56,0,0,0,0,2,0,0,0,0,1,0,0,,0,18,38,0,0,0,1,1,1,0
