NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,TinyURL,iFrame,Mouse_Over,Web_Forwards,Label
2,3,5,55,0,0,0,0,1,0,0,0,0,0,0,0,,0,16,39,0,0,0,1,1,1,1
2,3,2,31,0,0,0,0,0,0,0,0,0,0,0,0,,0,23,8,0,0,0,1,1,1,1
2,3,10,91,2,2,0,0,0,0,1,0,0,6,0,0,,0,9,64,17,0,0,1,1,1,1
3,4,4,345,7,4,0,0,3,2,2,1,0,50,0,0,,0,45,34,265,0,0,1,1,1,1
1,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,,0,8,1,0,0,0,1,1,1,1
2,3,2,26,0,0,0,0,0,0,0,0,0,0,0,0,,0,17,9,0,0,1,1,1,1,1
1,2,2,20,0,0,0,0,0,0,0,0,0,2,0,0,,0,14,6,0,0,1,1,1,1,1
1,2,12,158,0,0,0,0,0,0,0,0,0,26,0,0,,0,17,141,0,0,0,1,1,1,1
2,3,2,17,0,0,0,0,0,0,0,0,0,2,0,0,,0,16,1,0,0,0,1,1,1,1
3,4,8,98,1,1,0,0,0,0,0,0,0,23,0,1,,0,11,87,0,0,0,1,1,1,1
1,2,7,86,2,2,0,0,0,0,0,0,0,21,0,0,,0,28,58,0,0,0,1,1,1,1
3,4,4,345,7,4,0,0,5,2,2,1,0,46,0,0,,0,45,34,265,0,0,1,1,1,1
2,3,3,38,1,1,0,0,0,0,0,0,0,0,0,0,,0,18,20,0,0,0,1,1,1,1
2,3,4,38,1,1,0,0,0,0,0,0,0,0,0,0,,0,15,23,0,0,0,1,1,1,1
9,10,4,162,5,5,0,0,0,0,0,0,0,38,0,1,,0,139,23,0,0,0,1,1,1,1
3,4,3,65,0,0,0,0,0,0,0,0,0,2,0,0,,0,18,47,0,0,0,1,1,1,1
2,3,5,112,1,1,0,0,0,0,0,0,0,17,0,0,,0,16,96,0,0,0,1,1,1,1
1,2,5,27,0,0,0,0,0,0,0,0,0,0,0,0,,0,10,17,0,0,0,1,1,1,1
1,2,4,26,0,0,0,0,0,0,0,0,0,0,0,0,,0,14,12,0,0,0,1,1,1,1
5,4,4,155,2,0,1,0,0,0,7,6,0,14,0,0,,0,20,24,110,0,0,1,1,1,1
3,4,4,371,7,4,0,0,2,3,3,2,0,53,0,0,,0,45,34,291,0,0,1,1,1,1
3,4,4,43,0,0,0,0,0,0,0,0,0,0,0,0,,0,23,20,0,0,0,1,1,1,1
3,4,3,55,0,0,0,0,0,0,0,0,0,0,0,0,,0,17,38,0,0,0,1,1,1,1
12,13,7,182,0,0,0,0,1,0,1,0,0,38,0,1,,0,123,46,12,0,0,1,1,1,1
2,3,4,36,1,1,0,0,0,0,0,0,0,0,0,0,,0,14,22,0,0,0,1,1,1,1
2,3,3,38,0,0,0,0,0,0,0,0,0,0,0,0,,0,20,18,0,0,0,1,1,1,1
1,2,3,18,0,0,0,0,0,0,0,0,0,0,0,0,,0,11,7,0,0,1,1,1,1,1
2,3,6,48,0,0,0,0,0,0,0,0,0,0,0,0,,0,15,33,0,0,0,1,1,1,1
3,4,6,50,0,0,0,0,0,0,0,0,0,11,0,0,,0,12,38,0,0,0,1,1,1,1
2,3,5,70,0,0,0,0,0,0,0,0,0,19,0,1,,0,28,42,0,0,0,1,1,1,1
2,3,8,80,1,1,0,0,0,1,0,0,0,2,0,0,,0,15,65,0,0,0,1,1,1,1
1,2,1,15,0,0,0,0,0,0,0,0,0,0,0,0,,0,15,16,0,0,0,1,1,1,1
3,4,3,23,0,0,0,0,0,0,0,0,0,2,0,0,,0,13,10,0,0,0,1,1,1,1
2,3,5,54,0,0,0,0,1,0,0,0,0,3,0,0,,0,17,37,0,0,0,1,1,1,1
4,5,3,76,0,0,0,0,0,0,0,0,0,0,0,0,,0,25,51,0,0,0,1,1,1,1
1,2,6,77,2,2,0,0,1,0,0,0,0,20,0,1,,0,14,63,0,0,0,1,1,1,1
1,2,3,31,0,0,0,0,0,0,0,0,0,0,0,0,,0,23,8,0,0,1,1,1,1,1
1,2,2,20,0,0,0,0,0,0,0,0,0,1,0,0,,0,12,8,0,0,0,1,1,1,1
1,2,3,18,0,0,0,0,0,0,0,0,0,0,0,0,,0,10,8,0,0,0,1,1,1,1
2,3,3,33,0,0,0,0,0,0,0,0,0,3,0,0,,0,13,20,0,0,0,1,1,1,1
4,5,2,76,1,1,0,0,0,0,1,0,0,24,0,1,,0,21,16,38,0,0,1,1,1,1
3,4,5,56,0,0,0,0,0,0,0,0,0,0,0,0,,0,16,40,0,0,0,1,1,1,1
2,3,4,38,1,1,0,0,0,0,0,0,0,0,0,0,,0,18,20,0,0,0,1,1,1,1
1,2,3,22,0,0,0,0,0,0,0,0,0,0,0,0,,0,14,8,0,0,0,1,1,1,1
5,3,2,80,1,1,0,0,0,0,1,1,0,0,0,0,,0,18,10,51,0,0,1,1,1,1
12,13,5,310,1,1,0,0,0,0,0,0,0,126,0,1,,0,209,101,0,0,0,1,1,1,1
4,5,3,45,0,0,0,0,0,0,0,0,0,0,0,0,,0,21,24,0,0,0,1,1,1,1
1,2,2,20,0,0,0,0,0,0,0,0,0,0,0,0,,0,12,8,0,0,0,1,1,1,1
1,2,4,29,0,0,0,0,0,0,0,0,0,0,0,0,,0,15,14,0,0,0,1,1,1,1
1,2,2,18,0,0,0,0,0,0,0,0,0,1,0,0,,0,10,8,0,0,0,1,1,1,1
1,2,2,19,0,0,0,0,0,0,0,0,0,3,0,0,,0,11,8,0,0,1,1,1,1,1
2,3,3,25,0,0,0,0,0,0,0,0,0,3,0,0,,0,17,8,0,0,0,1,1,1,1
7,8,6,82,1,1,0,0,2,0,2,1,0,11,0,0,,0,39,21,21,0,0,1,1,1,1
2,3,6,37,0,0,0,0,0,0,0,0,0,0,0,0,,0,13,24,0,0,0,1,1,1,1
1,2,4,27,0,0,0,0,1,0,0,0,0,0,0,0,,0,10,17,0,0,0,1,1,1,1
2,3,3,27,0,0,0,0,0,0,0,0,0,0,0,0,,0,12,15,0,0,0,1,1,1,1
2,3,3,38,0,0,0,0,1,0,0,0,0,1,0,0,,0,15,23,0,0,0,1,1,1,1
3,4,2,148,0,0,0,0,0,0,0,0,0,31,0,0,,0,32,15,100,0,0,1,1,1,1
7,8,5,236,2,1,0,0,1,0,2,1,0,76,0,1,,0,15,68,152,0,0,1,1,1,1
3,4,3,46,0,0,0,0,0,0,0,0,0,5,0,0,,0,30,16,0,0,0,1,1,1,1
3,4,2,36,0,0,0,0,0,0,0,0,0,2,0,0,,0,35,1,0,0,0,1,1,1,1
2,3,9,75,0,0,0,0,0,0,0,0,0,2,0,0,,0,23,52,0,0,0,1,1,1,1
2,3,7,53,0,0,0,0,0,0,0,0,0,0,0,0,,0,9,44,0,0,0,1,1,1,1
11,12,4,119,0,0,0,0,0,0,0,0,0,31,0,1,,0,73,46,0,0,0,1,1,1,1
1,2,5,57,1,1,0,0,0,0,0,0,0,0,0,0,,0,28,29,0,0,0,1,1,1,1
1,2,3,25,1,1,0,0,0,0,1,0,0,2,0,0,,0,13,4,7,0,0,1,1,1,1
4,5,2,23,0,0,0,0,0,0,0,0,0,10,0,0,,0,13,10,0,0,0,1,1,1,1
7,6,3,275,4,1,0,0,1,0,9,12,0,10,0,0,,0,31,13,230,0,0,1,1,1,1
1,2,1,13,0,0,0,0,0,0,0,0,0,4,0,0,,0,13,14,0,0,0,1,1,1,1
7,8,6,95,1,1,0,0,2,0,2,1,0,22,0,0,,0,39,21,34,0,0,1,1,1,1
3,4,4,42,0,0,0,0,1,0,0,0,0,0,0,0,,0,10,32,0,0,1,1,1,1,1
2,3,7,61,0,0,0,0,0,1,0,0,0,6,0,0,,0,17,44,0,0,0,1,1,1,1
2,3,7,66,1,1,0,0,0,0,0,0,0,0,0,0,,0,15,51,0,0,0,1,1,1,1
1,2,2,23,1,1,0,0,0,0,0,0,0,1,0,0,,0,17,6,0,0,0,1,1,1,1
3,4,3,52,0,0,0,0,0,0,0,0,0,3,0,0,,0,36,16,0,0,0,1,1,1,1
6,7,4,78,0,0,0,0,0,0,0,0,0,4,0,0,,0,27,51,0,0,0,1,1,1,1
2,3,3,52,1,1,0,0,1,0,1,0,0,0,0,0,,0,14,22,15,0,0,1,1,1,1
4,5,2,33,0,0,0,0,0,0,0,0,0,1,0,0,,0,21,12,0,0,0,1,1,1,1
3,4,4,345,6,4,0,0,6,2,2,1,0,42,0,0,,0,45,34,265,0,0,1,1,1,1
2,3,4,44,0,0,0,0,0,0,0,0,0,1,0,0,,0,10,34,0,0,0,1,1,1,1
3,4,4,363,9,4,0,0,2,3,3,2,0,46,0,0,,0,45,34,283,0,0,1,1,1,1
3,4,4,337,6,4,0,0,3,0,2,1,0,41,0,0,,0,44,34,258,0,0,1,1,1,1
2,3,4,39,0,0,0,0,0,0,0,0,0,1,0,0,,0,18,21,0,0,0,1,1,1,1
1,2,3,22,0,0,0,0,0,0,0,0,0,0,0,0,,0,10,12,0,0,0,1,1,1,1
1,2,7,48,1,1,0,0,0,0,0,0,0,6,0,0,,0,7,41,0,0,0,1,1,1,1
