NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,TinyURL,iFrame,Mouse_Over,Label
3,4,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,0,0,0,1,1,0
2,3,5,96,4,0,0,0,0,0,1,0,0,15,0,1,0,0,10,46,39,0,0,1,1,0
2,3,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,15,0,0,0,1,1,0
3,4,2,79,6,1,0,0,0,0,0,0,0,7,0,0,0,0,28,15,35,0,0,1,1,0
1,2,4,35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,25,0,0,0,1,1,0
2,3,4,57,2,2,0,0,0,0,0,0,0,0,0,0,0,0,14,43,0,0,1,1,1,0
1,2,4,87,8,8,0,0,0,0,0,0,0,6,0,0,0,0,13,74,0,0,0,1,1,0
1,2,2,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,20,0,0,0,1,1,0
2,3,5,94,0,0,0,0,7,0,0,0,0,4,0,0,0,0,14,80,0,0,0,1,1,0
1,2,3,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,16,0,0,0,1,1,0
4,5,5,42,0,0,0,0,0,0,0,0,0,8,0,0,0,0,14,28,0,0,0,1,1,0
5,6,2,38,1,1,0,0,0,0,0,0,0,0,0,0,0,0,27,11,0,0,0,1,1,0
4,3,2,68,0,0,0,0,1,0,1,0,0,6,0,0,0,0,12,6,49,0,0,1,1,0
2,3,6,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,32,0,0,0,1,1,0
2,3,6,45,1,1,0,0,0,0,0,0,0,8,0,0,0,0,15,30,0,0,0,1,1,0
2,3,5,81,7,7,0,0,0,0,0,0,0,8,0,0,0,0,21,60,0,0,0,1,1,0
1,2,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,1,1,0
4,5,5,56,0,0,0,0,2,0,0,0,0,1,0,0,0,0,18,38,0,0,0,1,1,0
3,4,2,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,23,0,0,0,1,1,0
1,2,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,0,0,0,1,1,0
2,3,2,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,45,0,0,0,1,1,0
2,3,7,108,6,6,0,0,0,0,0,0,0,3,0,0,0,0,20,88,0,0,0,1,1,0
2,3,4,36,0,0,0,0,0,0,0,0,0,6,0,0,0,0,20,16,0,0,0,1,1,0
3,4,3,37,0,0,0,0,0,0,1,0,0,5,0,0,0,0,14,14,8,0,0,1,1,0
1,2,6,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,47,0,0,0,1,1,0
1,2,5,30,0,0,0,0,1,0,0,0,0,5,0,0,0,0,10,20,0,0,0,1,1,0
2,3,2,52,3,3,0,0,2,0,0,0,0,7,0,0,0,0,8,44,0,0,0,1,1,0
1,2,7,107,7,7,0,0,0,0,0,0,0,8,0,0,0,0,17,90,0,0,0,1,1,0
1,2,3,52,4,4,0,0,0,0,0,0,0,0,0,0,0,0,12,40,0,0,0,1,1,0
2,3,3,62,0,0,0,0,4,0,1,0,0,2,0,0,0,0,19,37,5,0,0,1,1,0
2,3,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,0,0,1,1,0
2,3,2,64,0,0,0,0,1,0,4,3,0,3,0,0,0,0,10,10,43,0,0,1,1,0
3,4,3,61,0,0,0,0,0,0,1,0,0,16,0,0,0,0,20,15,25,0,0,1,1,0
1,2,3,67,0,0,0,0,9,0,0,0,0,0,0,0,0,0,17,50,0,0,0,1,1,0
2,3,3,48,0,0,0,0,4,0,0,0,0,1,0,0,0,0,11,37,0,0,0,1,1,0
1,2,3,24,0,0,0,0,0,0,0,0,0,5,0,0,0,0,12,12,0,0,0,1,1,0
